Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
1012CWTY,1012,Toy (n=31),Urban,9.23E+04,6.55E+02,BDL,BDL,BDL,BDL,4.97,2.82,BDL,BDL,BDL,BDL
1013CWTY,1013,Toy (n=31),Urban,5.50E+04,DNQ,BDL,BDL,BDL,BDL,4.74,DNQ,BDL,BDL,BDL,BDL
1015CWTY,1015,Toy (n=31),Urban,1.94E+04,BDL,BDL,BDL,BDL,BDL,4.29,BDL,BDL,BDL,BDL,BDL
1017CWTY,1017,Toy (n=31),Urban,5.79E+04,3.80E+02,BDL,BDL,BDL,BDL,4.76,2.58,BDL,BDL,BDL,BDL
1019CWTY,1019,Toy (n=31),Urban,1.68E+04,BDL,BDL,BDL,BDL,BDL,4.22,BDL,BDL,BDL,BDL,BDL
2001CWTY,2001,Toy (n=31),Semi-rural,2.78E+04,1.68E+02,BDL,BDL,BDL,BDL,4.44,2.22,BDL,BDL,BDL,BDL
2004CWTY,2004,Toy (n=31),Semi-rural,1.27E+06,1.32E+02,1.05E+02,BDL,BDL,BDL,6.1,2.12,2.02,BDL,BDL,BDL
2007CWTY,2007,Toy (n=31),Semi-rural,3.24E+04,BDL,BDL,BDL,BDL,BDL,4.51,BDL,BDL,BDL,BDL,BDL
2008CWTY,2008,Toy (n=31),Semi-rural,1.23E+05,1.49E+02,BDL,BDL,BDL,BDL,5.09,2.17,BDL,BDL,BDL,BDL
2012CWTY,2012,Toy (n=31),Semi-rural,3.27E+04,BDL,BDL,BDL,BDL,BDL,4.51,BDL,BDL,BDL,BDL,BDL
2013CWTY,2013,Toy (n=31),Semi-rural,1.89E+04,BDL,BDL,BDL,BDL,BDL,4.28,BDL,BDL,BDL,BDL,BDL
2015CWTY,2015,Toy (n=31),Semi-rural,8.80E+03,BDL,BDL,BDL,BDL,BDL,3.95,BDL,BDL,BDL,BDL,BDL
2016CWTY,2016,Toy (n=31),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2018CWTY,2018,Toy (n=31),Semi-rural,3.90E+05,1.44E+02,BDL,BDL,BDL,BDL,5.59,2.16,BDL,BDL,BDL,BDL
2026CWTY,2026,Toy (n=31),Semi-rural,4.32E+02,BDL,BDL,BDL,BDL,BDL,2.64,BDL,BDL,BDL,BDL,BDL
3001CWTY,3001,Toy (n=31),Rural,6.11E+04,BDL,BDL,BDL,BDL,BDL,4.79,BDL,BDL,BDL,BDL,BDL
3003CWTY,3003,Toy (n=31),Rural,9.78E+03,BDL,BDL,BDL,BDL,BDL,3.99,BDL,BDL,BDL,BDL,BDL
3005CWTY,3005,Toy (n=31),Rural,2.02E+04,BDL,BDL,BDL,BDL,BDL,4.31,BDL,BDL,BDL,BDL,BDL
3007CWTY,3007,Toy (n=31),Rural,6.98E+02,BDL,BDL,BDL,BDL,BDL,2.84,BDL,BDL,BDL,BDL,BDL
4002CWTY,4002,Toy (n=31),Rural,6.29E+05,BDL,BDL,BDL,BDL,BDL,5.8,BDL,BDL,BDL,BDL,BDL
5002CWTY,5002,Toy (n=31),Rural,1.32E+04,BDL,BDL,BDL,BDL,BDL,4.12,BDL,BDL,BDL,BDL,BDL
7002CWTY,7002,Toy (n=31),Rural,5.32E+03,BDL,BDL,BDL,BDL,BDL,3.73,BDL,BDL,BDL,BDL,BDL
9003CWTY,9003,Toy (n=31),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9005CWTY,9005,Toy (n=31),Rural,1.68E+05,BDL,BDL,BDL,BDL,BDL,5.22,BDL,BDL,BDL,BDL,BDL
9006CWTY,9006,Toy (n=31),Rural,2.51E+06,BDL,BDL,BDL,BDL,BDL,6.4,BDL,BDL,BDL,BDL,BDL
1019CWTV,1019,TV remote (n=16),Rural,2.14E+03,BDL,BDL,BDL,BDL,BDL,3.33,BDL,BDL,BDL,BDL,BDL
1020CNTV,1020,TV remote (n=16),Urban,1.01E+04,BDL,BDL,BDL,BDL,BDL,4,BDL,BDL,BDL,BDL,BDL
1021CNTV,1021,TV remote (n=16),Urban,1.16E+04,BDL,BDL,BDL,BDL,BDL,4.07,BDL,BDL,BDL,BDL,BDL
1023CNTV,1023,TV remote (n=16),Urban,1.79E+04,BDL,BDL,BDL,BDL,BDL,4.25,BDL,BDL,BDL,BDL,BDL
2008CWTV,2008,TV remote (n=16),Rural,6.44E+03,1.33E+02,BDL,BDL,BDL,BDL,3.81,2.12,BDL,BDL,BDL,BDL
2016CWTV,2016,TV remote (n=16),Rural,1.06E+04,1.59E+02,BDL,BDL,BDL,BDL,4.03,2.2,BDL,BDL,BDL,BDL
2033CNTV,2033,TV remote (n=16),Semi-rural,5.23E+03,BDL,BDL,BDL,BDL,BDL,3.72,BDL,BDL,BDL,BDL,BDL
3007CWTV,3007,TV remote (n=16),Rural,8.23E+04,BDL,BDL,BDL,BDL,BDL,4.92,BDL,BDL,BDL,BDL,BDL
4002CWTV,4002,TV remote (n=16),Rural,2.48E+04,BDL,BDL,BDL,BDL,BDL,4.39,BDL,BDL,BDL,BDL,BDL
4005CNTV,4005,TV remote (n=16),Rural,7.77E+03,BDL,BDL,BDL,BDL,BDL,3.89,BDL,BDL,BDL,BDL,BDL
4006CNTV,4006,TV remote (n=16),Rural,1.03E+03,BDL,BDL,BDL,BDL,BDL,3.01,BDL,BDL,BDL,BDL,BDL
7003CNTV,7003,TV remote (n=16),Rural,1.45E+04,BDL,BDL,BDL,BDL,BDL,4.16,BDL,BDL,BDL,BDL,BDL
7004CNTV,7004,TV remote (n=16),Rural,5.33E+03,BDL,BDL,BDL,BDL,BDL,3.73,BDL,BDL,BDL,BDL,BDL
9002CNTV,9002,TV remote (n=16),Rural,1.10E+05,BDL,BDL,BDL,BDL,BDL,5.04,BDL,BDL,BDL,BDL,BDL
9005CWTV,9005,TV remote (n=16),Rural,8.23E+04,BDL,BDL,BDL,BDL,BDL,4.92,BDL,BDL,BDL,BDL,BDL
9006CWTV,9006,TV remote (n=16),Rural,1.16E+04,BDL,BDL,BDL,BDL,BDL,4.07,BDL,BDL,BDL,BDL,BDL
